"session","created","modified","ended","expired","consentAge","consentUnderstand","time1","likeFruit","favFruit","time2","screenout"
"","2021-09-16 20:27:05","2021-09-16 20:27:30","2021-09-16 20:27:30","","","","","1","pineapple","","1"
"","2021-09-16 20:28:21","","","","","","","","","",""
"famousGibbonXXXgDhIA7OSI9BRYIVVno6w1BwkpWyiDEIkHf9U1VtlSxUGmwZqq","2021-09-16 20:33:48","2021-09-16 20:34:08","","","","","","1","pineapple","",""
"aliveDogfishXXX2gB2j-iyHPis3wG7Bv5HKE1QSAN11JH2M3ihElfcs4gYOvKQ5","2021-09-16 20:35:02","2021-09-16 20:35:03","","","","","","","","",""
"mbbc7iVd16jX9f-KIwBeoxcvuM4n1feQ4vKVO4YlmRwV7W4lrH0MEFKFyLxqDJ4H","2021-09-17 05:44:21","","","","","","","","","",""
"IMtCvZAJ-CE1O1FyeOSfQVo6ut-Ia7qfx23jlxey-6lZTTFoSAzq0Ybv8-TvMnNa","2021-09-18 02:38:33","","","","","","","","","",""
"hilariousOkapiXXXBQYBZtkkRAVv8Llr7pmmQePrcTznb_mdPZBBv0xA2Od6Lu0","2021-09-18 19:18:36","2021-09-18 19:18:53","2021-09-18 19:18:53","","","","2021-09-18 19:18:38","1","pineapple","2021-09-18 19:18:50","2"
"LJ3jPDEDl1OGchhjlFRM0Vn42W_R9Gora65anzD__4c1GOmlEFe_dPcPIma3Bm9r","2021-09-18 23:23:24","","","","","","","","","",""
"hXiaoTp8_AX93YfAuSSW6HQZ_14_tbgtd-PdHALzF4SQCWBJFH1ne537L6PkokXl","2021-09-19 19:50:52","","","","","","","","","",""
"0AZi0QkFNH2AGro5h-jpvN16rpLLMZx2i0FpWAsO0kp2n05qeRAe_3IQve9GQiCE","2021-09-19 22:40:33","2021-09-19 22:41:12","","","","","2021-09-19 22:40:39","2","Gzdh","2021-09-19 22:40:48",""
"tbcX23lxLmoXGPGVq32QwkJnFV6aqmbQ3A4eA2DlweHDsM2NiwMQp8yiX0X0iHcb","2021-09-20 07:34:36","2021-09-20 07:35:01","2021-09-20 07:35:01","","","","2021-09-20 07:34:44","1","Clementine","2021-09-20 07:34:54","1"
"j5qEfIk8AvADHxKOhSrSScY8MClHDgKSGlabIwB-3Dtr1tJ9fVu_ldFcylOMANnP","2021-09-20 08:26:13","2021-09-20 08:27:22","2021-09-20 08:27:22","","","","2021-09-20 08:27:01","1","ljh","2021-09-20 08:27:11","2"
"jEhpSJ4mTyDHHpy012-9dlpqpjYMy_y00f7MYdksY9VogoiQCBSi2bDXizkD_6xg","2021-09-20 08:52:15","","","","","","","","","",""
"EnZCAka2FLPhU2zJJyfDBeh5V_AFTHto5y_WFElzk4S7p9xdjglX0O91YWALAf9o","2021-09-20 09:50:14","2021-09-20 09:50:28","2021-09-20 09:50:28","","","","2021-09-20 09:50:16","1","aaple","2021-09-20 09:50:26","1"
"SBwT7riOMYGvx8HKqnUjqVvKhopMOBEvR8c-z8-zzsmKApZL8lJzR_DOp7THs_qr","2021-09-20 11:37:41","","","","","","","","","",""
"R_Pu8pFzptldQ1ZipXPjjjx8xVknIfPRlY6fVG-AZEyGc2yXZGKLxuw1vLRc5GLG","2021-09-20 15:10:34","","","","","","","","","",""
"qT52b0LogTnQiStkaW1TxPpwDjmjSPFnh81K_eMwgXl0Qs6jfzrh9IfcbFqwdUo3","2021-09-20 15:18:27","2021-09-20 15:18:56","2021-09-20 15:18:56","","","","2021-09-20 15:18:30","1","Apples","2021-09-20 15:18:37","2"
"excitedBeardedDragonXXXF_tk4yYQvhBvNb4-umB-v-KlrBHBV0J-1yBjAcv9O","2021-09-20 19:41:54","2021-09-20 19:42:07","2021-09-20 19:42:07","","","","2021-09-20 19:41:56","2","pineapple","2021-09-20 19:42:04","1"
