"session","created","modified","ended","expired","time3","survey","respondentID","df","df_json","time4","time5","cbcPractice","time6","time7","cbc1","time8","cbc2","time9","cbc3","time10","cbc4","time11","cbc5","time12","cbc6","time13","cbc7","time14","cbc8","cbcAllSame"
"","2021-09-16 20:39:19","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-09-16 20:40:13","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-09-16 20:41:53","","","","","Array","","NA","","","","","","","","","","","","","","","","","","","","","",""
"","2021-09-16 20:42:14","","","","","Array","","NA","","","","","","","","","","","","","","","","","","","","","",""
"","2021-09-16 20:42:37","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-09-16 20:44:50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-09-16 20:45:15","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-09-16 20:45:39","","","","","Array","","NA","","","","","","","","","","","","","","","","","","","","","",""
"","2021-09-16 20:46:05","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-09-16 20:47:39","","","","","Array","406","Array","","","","","","","","","","","","","","","","","","","","","",""
"","2021-09-16 20:48:18","","","","","Array","10","Array","","","","","","","","","","","","","","","","","","","","","",""
"","2021-09-16 20:49:02","","","","","Array","1699","Array","","","","","","","","","","","","","","","","","","","","","",""
"","2021-09-16 22:51:18","2021-09-16 22:51:48","","","","Array","1787","Array","","","","","","","","","","","","","","","","","","","","","",""
"","2021-09-16 22:52:26","2021-09-16 22:52:49","","","","Array","694","Array","","","","","","","1","","","","","","","","","","","","","","",""
"","2021-09-16 23:07:09","2021-09-16 23:07:15","","","","Array","776","Array","","","","","","","","","","","","","","","","","","","","","",""
"","2021-09-16 23:08:01","2021-09-16 23:08:07","","","","Array","696","Array","","","","","","","","","","","","","","","","","","","","","",""
"","2021-09-16 23:09:08","2021-09-16 23:09:31","","","","Array","1977","Array","","","","","","","2","","","","","","","","","","","","","","",""
