"session","created","modified","ended","expired","time15","knowledge1","knowledge2","time16","yearOfBirth","gender","genderOther","race","raceOther","education","income","feedback","time17","completionCode","time18"
"j5qEfIk8AvADHxKOhSrSScY8MClHDgKSGlabIwB-3Dtr1tJ9fVu_ldFcylOMANnP","2021-09-20 08:28:18","2021-09-20 08:28:54","2021-09-20 08:29:19","","","fuji","pinkLady","","1990","male","","prefer_not_say","","prefer_not_say","prefer_not_say","","","",""
"qT52b0LogTnQiStkaW1TxPpwDjmjSPFnh81K_eMwgXl0Qs6jfzrh9IfcbFqwdUo3","2021-09-20 15:20:17","2021-09-20 15:21:29","2021-09-20 15:21:53","","","honeycrisp","gala","","1996","female","","white","","degree_grad","inc_15to25","","","",""
"hilariousOkapiXXXBQYBZtkkRAVv8Llr7pmmQePrcTznb_mdPZBBv0xA2Od6Lu0","2021-09-20 19:24:52","2021-09-20 19:25:30","2021-09-20 19:26:31","","","redDelicious","gala","","prefer_not_say","female","","hispanic","","degree_associate","inc_15to25","","","",""
"","2021-09-20 19:28:20","2021-09-20 19:28:27","","","","gala","honeycrisp","","","","","","","","","","","",""
"","2021-09-20 19:28:36","2021-09-20 19:28:50","","","","pinkLady","pinkLady","","2003","transMale","","black","","vocational","inc_25to35","","","",""
"","2021-09-20 19:29:29","2021-09-20 19:29:40","2021-09-20 19:29:40","","2021-09-20 19:29:40","pinkLady","honeycrisp","","prefer_not_say","prefer_not_say","thank the formr monkey","asian, black, white, hispanic, native, pacific, prefer_not_say","thank the formr monkey","prefer_not_say","prefer_not_say","thank the formr monkey
many times","","687954",""
"healthyChinchillaXXXULoouIJw6r086IzdjQ9cBTrCSTPdq0l5EaoNidfpxb5j","2021-09-20 20:07:14","2021-09-20 20:07:23","","","","gala","fuji","","prefer_not_say","prefer_not_say","thank the formr monkey","asian, black, white, hispanic, native, pacific, prefer_not_say","thank the formr monkey","prefer_not_say","prefer_not_say","thank the formr monkey
many times","","466505",""
"smilingWalrusXXXY37wJaSgLK2S1R7kI9deOGVwpJzWg8Lpdve19ATn6yZXAyN2","2021-09-20 20:20:33","2021-09-20 20:21:04","2021-09-20 20:21:04","","2021-09-20 20:21:04","redDelicious","redDelicious","","prefer_not_say","prefer_not_say","thank the formr monkey","asian, black, white, hispanic, native, pacific, prefer_not_say","thank the formr monkey","prefer_not_say","prefer_not_say","thank the formr monkey
many times","","942922",""
"IAOXffuNxr_XXvRbfWjiY92BkxoAwvvH2UOMP-s-hpQToueYiaPc1SbdA1NFhhoB","2021-09-21 11:49:08","2021-09-21 11:50:22","2021-09-21 11:50:22","","2021-09-21 11:49:08","gala","honeycrisp","2021-09-21 11:49:25","1977","male","","white","","degree_bs","inc_35to50","","2021-09-21 11:50:15","406739","2021-09-21 11:50:22"
"GYT5YmOF9W1OQKzE4xmjYX2cUR1pTOXp6sJVwAUR5naV2ezx5u5mNO7bvnz3A6Ny","2021-09-22 14:10:10","2021-09-22 14:12:08","2021-09-22 14:12:08","","2021-09-22 14:10:10","fuji","pinkLady","2021-09-22 14:11:52","2001","male","","native","","college_some","inc_35to50","woohoo!","2021-09-22 14:12:06","819006","2021-09-22 14:12:08"
"y0_YB0Y0sxsH6aHDNwHzT9JPPmaIOSh_DphnpFkMErJVpxM8mHTe35n3fTyKothW","2021-09-22 14:21:25","2021-09-22 14:21:46","2021-09-22 14:21:46","","2021-09-22 14:21:25","gala","honeycrisp","2021-09-22 14:21:30","1993","transMale","","hispanic","","vocational","inc_10to15","great survey!","2021-09-22 14:21:43","301446","2021-09-22 14:21:46"
"zieywBdQ1wg4Y_oF9pLVn4G-gtYZterfivDTJj7FUlUNur4EEKlaKEmj08yntBIM","2021-09-22 14:23:06","2021-09-22 14:23:21","2021-09-22 14:23:22","","2021-09-22 14:23:06","fuji","redDelicious","2021-09-22 14:23:12","2000","female","","hispanic","","hs","inc_50to75","","2021-09-22 14:23:19","728901","2021-09-22 14:23:21"
"yYPvN3IZWsHLPCujSElRkIEJSNFXyZk_du7jbppOO5hva6RRFe_oLLxipbxxMbWU","2021-09-26 16:53:41","2021-10-02 06:50:53","","","2021-09-26 16:53:41","honeycrisp","gala","2021-09-26 16:53:50","","","","","","","","","","",""
"S5FYUyewkqnxjGZZKPJeDK9BrABX0UTHrzkzsO7ygWS8HQwcY9fv-hGG_F1ZSToA","2021-09-27 21:22:28","2021-09-27 21:23:28","2021-09-27 21:23:28","","2021-09-27 21:22:28","fuji","honeycrisp","2021-09-27 21:22:53","1965","male","","white","","degree_grad","inc_150to200","","2021-09-27 21:23:25","211559","2021-09-27 21:23:28"
"YIMciAYJ1LEWiamJndxkQRSTca5-ucU1XSXT-M8mqt5n6o4F373nNNIupzNcT2xn","2021-09-28 09:08:46","2021-09-28 09:09:57","2021-09-28 09:09:57","","2021-09-28 09:08:47","fuji","gala","2021-09-28 09:09:00","1980","female","","hispanic","","degree_grad","inc_15to25","","2021-09-28 09:09:48","108657","2021-09-28 09:09:57"
