respID,qID,altID,obsID,profileID,type,price,freshness,image
1,1,1,1,33,Honeycrisp,4,Excellent,honeycrisp.jpg
1,1,2,1,44,Pink Lady,1.5,Average,pinkLady.jpg
1,1,3,1,1,Fuji,1,Excellent,fuji.jpg
1,2,1,2,2,Gala,1,Excellent,gala.jpg
1,2,2,2,11,Fuji,2,Excellent,fuji.jpg
1,2,3,2,32,Gala,4,Excellent,gala.jpg
1,3,1,3,35,Red Delicious,4,Excellent,redDelicious.jpg
1,3,2,3,87,Gala,2.5,Poor,gala.jpg
1,3,3,3,3,Honeycrisp,1,Excellent,honeycrisp.jpg
1,4,1,4,29,Pink Lady,3.5,Excellent,pinkLady.jpg
1,4,2,4,104,Pink Lady,4,Poor,pinkLady.jpg
1,4,3,4,3,Honeycrisp,1,Excellent,honeycrisp.jpg
1,5,1,5,50,Red Delicious,2,Average,redDelicious.jpg
1,5,2,5,47,Gala,2,Average,gala.jpg
1,5,3,5,34,Pink Lady,4,Excellent,pinkLady.jpg
1,6,1,6,92,Gala,3,Poor,gala.jpg
1,6,2,6,41,Fuji,1.5,Average,fuji.jpg
1,6,3,6,84,Pink Lady,2,Poor,pinkLady.jpg
1,7,1,7,11,Fuji,2,Excellent,fuji.jpg
1,7,2,7,82,Gala,2,Poor,gala.jpg
1,7,3,7,84,Pink Lady,2,Poor,pinkLady.jpg
1,8,1,8,22,Gala,3,Excellent,gala.jpg
1,8,2,8,38,Honeycrisp,1,Average,honeycrisp.jpg
1,8,3,8,21,Fuji,3,Excellent,fuji.jpg
2,1,1,9,55,Red Delicious,2.5,Average,redDelicious.jpg
2,1,2,9,5,Red Delicious,1,Excellent,redDelicious.jpg
2,1,3,9,4,Pink Lady,1,Excellent,pinkLady.jpg
2,2,1,10,98,Honeycrisp,3.5,Poor,honeycrisp.jpg
2,2,2,10,86,Fuji,2.5,Poor,fuji.jpg
2,2,3,10,34,Pink Lady,4,Excellent,pinkLady.jpg
2,3,1,11,57,Gala,3,Average,gala.jpg
2,3,2,11,56,Fuji,3,Average,fuji.jpg
2,3,3,11,93,Honeycrisp,3,Poor,honeycrisp.jpg
2,4,1,12,1,Fuji,1,Excellent,fuji.jpg
2,4,2,12,104,Pink Lady,4,Poor,pinkLady.jpg
2,4,3,12,15,Red Delicious,2,Excellent,redDelicious.jpg
2,5,1,13,95,Red Delicious,3,Poor,redDelicious.jpg
2,5,2,13,13,Honeycrisp,2,Excellent,honeycrisp.jpg
2,5,3,13,82,Gala,2,Poor,gala.jpg
2,6,1,14,56,Fuji,3,Average,fuji.jpg
2,6,2,14,39,Pink Lady,1,Average,pinkLady.jpg
2,6,3,14,13,Honeycrisp,2,Excellent,honeycrisp.jpg
2,7,1,15,29,Pink Lady,3.5,Excellent,pinkLady.jpg
2,7,2,15,5,Red Delicious,1,Excellent,redDelicious.jpg
2,7,3,15,36,Fuji,1,Average,fuji.jpg
2,8,1,16,63,Honeycrisp,3.5,Average,honeycrisp.jpg
2,8,2,16,8,Honeycrisp,1.5,Excellent,honeycrisp.jpg
2,8,3,16,68,Honeycrisp,4,Average,honeycrisp.jpg
3,1,1,17,22,Gala,3,Excellent,gala.jpg
3,1,2,17,51,Fuji,2.5,Average,fuji.jpg
3,1,3,17,32,Gala,4,Excellent,gala.jpg
3,2,1,18,45,Red Delicious,1.5,Average,redDelicious.jpg
3,2,2,18,49,Pink Lady,2,Average,pinkLady.jpg
3,2,3,18,104,Pink Lady,4,Poor,pinkLady.jpg
3,3,1,19,76,Fuji,1.5,Poor,fuji.jpg
3,3,2,19,104,Pink Lady,4,Poor,pinkLady.jpg
3,3,3,19,35,Red Delicious,4,Excellent,redDelicious.jpg
3,4,1,20,66,Fuji,4,Average,fuji.jpg
3,4,2,20,68,Honeycrisp,4,Average,honeycrisp.jpg
3,4,3,20,22,Gala,3,Excellent,gala.jpg
3,5,1,21,57,Gala,3,Average,gala.jpg
3,5,2,21,10,Red Delicious,1.5,Excellent,redDelicious.jpg
3,5,3,21,18,Honeycrisp,2.5,Excellent,honeycrisp.jpg
3,6,1,22,82,Gala,2,Poor,gala.jpg
3,6,2,22,63,Honeycrisp,3.5,Average,honeycrisp.jpg
3,6,3,22,89,Pink Lady,2.5,Poor,pinkLady.jpg
3,7,1,23,75,Red Delicious,1,Poor,redDelicious.jpg
3,7,2,23,23,Honeycrisp,3,Excellent,honeycrisp.jpg
3,7,3,23,32,Gala,4,Excellent,gala.jpg
3,8,1,24,67,Gala,4,Average,gala.jpg
3,8,2,24,82,Gala,2,Poor,gala.jpg
3,8,3,24,65,Red Delicious,3.5,Average,redDelicious.jpg
4,1,1,25,44,Pink Lady,1.5,Average,pinkLady.jpg
4,1,2,25,1,Fuji,1,Excellent,fuji.jpg
4,1,3,25,69,Pink Lady,4,Average,pinkLady.jpg
4,2,1,26,102,Gala,4,Poor,gala.jpg
4,2,2,26,64,Pink Lady,3.5,Average,pinkLady.jpg
4,2,3,26,94,Pink Lady,3,Poor,pinkLady.jpg
4,3,1,27,90,Red Delicious,2.5,Poor,redDelicious.jpg
4,3,2,27,49,Pink Lady,2,Average,pinkLady.jpg
4,3,3,27,103,Honeycrisp,4,Poor,honeycrisp.jpg
4,4,1,28,92,Gala,3,Poor,gala.jpg
4,4,2,28,87,Gala,2.5,Poor,gala.jpg
4,4,3,28,8,Honeycrisp,1.5,Excellent,honeycrisp.jpg
4,5,1,29,9,Pink Lady,1.5,Excellent,pinkLady.jpg
4,5,2,29,94,Pink Lady,3,Poor,pinkLady.jpg
4,5,3,29,44,Pink Lady,1.5,Average,pinkLady.jpg
4,6,1,30,36,Fuji,1,Average,fuji.jpg
4,6,2,30,16,Fuji,2.5,Excellent,fuji.jpg
4,6,3,30,19,Pink Lady,2.5,Excellent,pinkLady.jpg
4,7,1,31,42,Gala,1.5,Average,gala.jpg
4,7,2,31,87,Gala,2.5,Poor,gala.jpg
4,7,3,31,104,Pink Lady,4,Poor,pinkLady.jpg
4,8,1,32,10,Red Delicious,1.5,Excellent,redDelicious.jpg
4,8,2,32,7,Gala,1.5,Excellent,gala.jpg
4,8,3,32,1,Fuji,1,Excellent,fuji.jpg
5,1,1,33,68,Honeycrisp,4,Average,honeycrisp.jpg
5,1,2,33,55,Red Delicious,2.5,Average,redDelicious.jpg
5,1,3,33,91,Fuji,3,Poor,fuji.jpg
5,2,1,34,48,Honeycrisp,2,Average,honeycrisp.jpg
5,2,2,34,35,Red Delicious,4,Excellent,redDelicious.jpg
5,2,3,34,44,Pink Lady,1.5,Average,pinkLady.jpg
5,3,1,35,32,Gala,4,Excellent,gala.jpg
5,3,2,35,77,Gala,1.5,Poor,gala.jpg
5,3,3,35,95,Red Delicious,3,Poor,redDelicious.jpg
5,4,1,36,8,Honeycrisp,1.5,Excellent,honeycrisp.jpg
5,4,2,36,60,Red Delicious,3,Average,redDelicious.jpg
5,4,3,36,79,Pink Lady,1.5,Poor,pinkLady.jpg
5,5,1,37,47,Gala,2,Average,gala.jpg
5,5,2,37,48,Honeycrisp,2,Average,honeycrisp.jpg
5,5,3,37,83,Honeycrisp,2,Poor,honeycrisp.jpg
5,6,1,38,24,Pink Lady,3,Excellent,pinkLady.jpg
5,6,2,38,71,Fuji,1,Poor,fuji.jpg
5,6,3,38,19,Pink Lady,2.5,Excellent,pinkLady.jpg
5,7,1,39,42,Gala,1.5,Average,gala.jpg
5,7,2,39,51,Fuji,2.5,Average,fuji.jpg
5,7,3,39,87,Gala,2.5,Poor,gala.jpg
5,8,1,40,99,Pink Lady,3.5,Poor,pinkLady.jpg
5,8,2,40,1,Fuji,1,Excellent,fuji.jpg
5,8,3,40,73,Honeycrisp,1,Poor,honeycrisp.jpg
6,1,1,41,17,Gala,2.5,Excellent,gala.jpg
6,1,2,41,79,Pink Lady,1.5,Poor,pinkLady.jpg
6,1,3,41,31,Fuji,4,Excellent,fuji.jpg
6,2,1,42,101,Fuji,4,Poor,fuji.jpg
6,2,2,42,39,Pink Lady,1,Average,pinkLady.jpg
6,2,3,42,59,Pink Lady,3,Average,pinkLady.jpg
6,3,1,43,85,Red Delicious,2,Poor,redDelicious.jpg
6,3,2,43,61,Fuji,3.5,Average,fuji.jpg
6,3,3,43,40,Red Delicious,1,Average,redDelicious.jpg
6,4,1,44,83,Honeycrisp,2,Poor,honeycrisp.jpg
6,4,2,44,41,Fuji,1.5,Average,fuji.jpg
6,4,3,44,20,Red Delicious,2.5,Excellent,redDelicious.jpg
6,5,1,45,61,Fuji,3.5,Average,fuji.jpg
6,5,2,45,91,Fuji,3,Poor,fuji.jpg
6,5,3,45,9,Pink Lady,1.5,Excellent,pinkLady.jpg
6,6,1,46,85,Red Delicious,2,Poor,redDelicious.jpg
6,6,2,46,65,Red Delicious,3.5,Average,redDelicious.jpg
6,6,3,46,32,Gala,4,Excellent,gala.jpg
6,7,1,47,99,Pink Lady,3.5,Poor,pinkLady.jpg
6,7,2,47,15,Red Delicious,2,Excellent,redDelicious.jpg
6,7,3,47,40,Red Delicious,1,Average,redDelicious.jpg
6,8,1,48,55,Red Delicious,2.5,Average,redDelicious.jpg
6,8,2,48,14,Pink Lady,2,Excellent,pinkLady.jpg
6,8,3,48,89,Pink Lady,2.5,Poor,pinkLady.jpg
7,1,1,49,74,Pink Lady,1,Poor,pinkLady.jpg
7,1,2,49,93,Honeycrisp,3,Poor,honeycrisp.jpg
7,1,3,49,41,Fuji,1.5,Average,fuji.jpg
7,2,1,50,80,Red Delicious,1.5,Poor,redDelicious.jpg
7,2,2,50,23,Honeycrisp,3,Excellent,honeycrisp.jpg
