"type","price","freshness","image","respID","qID","altID","obsID"
"Gala",1,"Excellent","gala.jpg",1,1,1,1
"Gala",4,"Poor","gala.jpg",1,1,2,1
"Pink Lady",1,"Excellent","pinkLady.jpg",1,1,3,1
"Honeycrisp",2.5,"Poor","honeycrisp.jpg",1,2,1,2
"Red Delicious",2.5,"Poor","redDelicious.jpg",1,2,2,2
"Red Delicious",1,"Excellent","redDelicious.jpg",1,2,3,2
"Fuji",3.5,"Poor","fuji.jpg",1,3,1,3
"Honeycrisp",1.5,"Average","honeycrisp.jpg",1,3,2,3
"Red Delicious",4,"Average","redDelicious.jpg",1,3,3,3
"Gala",1,"Excellent","gala.jpg",2,1,1,4
"Honeycrisp",1,"Average","honeycrisp.jpg",2,1,2,4
"Fuji",4,"Excellent","fuji.jpg",2,1,3,4
"Gala",4,"Average","gala.jpg",2,2,1,5
"Pink Lady",3.5,"Excellent","pinkLady.jpg",2,2,2,5
"Gala",4,"Poor","gala.jpg",2,2,3,5
"Fuji",3,"Average","fuji.jpg",2,3,1,6
"Fuji",2,"Average","fuji.jpg",2,3,2,6
"Honeycrisp",1,"Excellent","honeycrisp.jpg",2,3,3,6
"Red Delicious",3.5,"Average","redDelicious.jpg",3,1,1,7
"Fuji",2,"Excellent","fuji.jpg",3,1,2,7
"Honeycrisp",2.5,"Poor","honeycrisp.jpg",3,1,3,7
"Pink Lady",1.5,"Excellent","pinkLady.jpg",3,2,1,8
"Red Delicious",4,"Excellent","redDelicious.jpg",3,2,2,8
"Red Delicious",1.5,"Poor","redDelicious.jpg",3,2,3,8
"Gala",2,"Average","gala.jpg",3,3,1,9
"Gala",3,"Average","gala.jpg",3,3,2,9
"Red Delicious",1.5,"Poor","redDelicious.jpg",3,3,3,9
"Red Delicious",4,"Excellent","redDelicious.jpg",4,1,1,10
"Red Delicious",3,"Excellent","redDelicious.jpg",4,1,2,10
"Honeycrisp",4,"Average","honeycrisp.jpg",4,1,3,10
"Pink Lady",4,"Average","pinkLady.jpg",4,2,1,11
"Gala",3,"Poor","gala.jpg",4,2,2,11
"Fuji",4,"Average","fuji.jpg",4,2,3,11
"Red Delicious",1,"Average","redDelicious.jpg",4,3,1,12
"Honeycrisp",2,"Poor","honeycrisp.jpg",4,3,2,12
"Honeycrisp",3,"Excellent","honeycrisp.jpg",4,3,3,12
"Pink Lady",3.5,"Average","pinkLady.jpg",5,1,1,13
"Honeycrisp",4,"Excellent","honeycrisp.jpg",5,1,2,13
"Red Delicious",1.5,"Poor","redDelicious.jpg",5,1,3,13
"Red Delicious",1,"Excellent","redDelicious.jpg",5,2,1,14
"Honeycrisp",3,"Poor","honeycrisp.jpg",5,2,2,14
"Fuji",3.5,"Average","fuji.jpg",5,2,3,14
"Honeycrisp",1.5,"Poor","honeycrisp.jpg",5,3,1,15
"Pink Lady",2.5,"Excellent","pinkLady.jpg",5,3,2,15
"Gala",1.5,"Excellent","gala.jpg",5,3,3,15
"Pink Lady",1.5,"Poor","pinkLady.jpg",6,1,1,16
"Gala",2,"Average","gala.jpg",6,1,2,16
"Pink Lady",4,"Poor","pinkLady.jpg",6,1,3,16
"Pink Lady",3.5,"Excellent","pinkLady.jpg",6,2,1,17
"Fuji",3,"Excellent","fuji.jpg",6,2,2,17
"Pink Lady",2.5,"Average","pinkLady.jpg",6,2,3,17
"Red Delicious",3.5,"Excellent","redDelicious.jpg",6,3,1,18
"Red Delicious",2,"Poor","redDelicious.jpg",6,3,2,18
"Gala",1.5,"Poor","gala.jpg",6,3,3,18
"Pink Lady",1,"Poor","pinkLady.jpg",7,1,1,19
"Red Delicious",3,"Excellent","redDelicious.jpg",7,1,2,19
"Honeycrisp",1.5,"Poor","honeycrisp.jpg",7,1,3,19
"Honeycrisp",1.5,"Average","honeycrisp.jpg",7,2,1,20
"Fuji",2,"Poor","fuji.jpg",7,2,2,20
"Red Delicious",3,"Poor","redDelicious.jpg",7,2,3,20
"Pink Lady",1.5,"Average","pinkLady.jpg",7,3,1,21
"Fuji",1.5,"Excellent","fuji.jpg",7,3,2,21
"Fuji",2,"Excellent","fuji.jpg",7,3,3,21
"Red Delicious",2,"Excellent","redDelicious.jpg",8,1,1,22
"Honeycrisp",1,"Poor","honeycrisp.jpg",8,1,2,22
"Gala",3,"Excellent","gala.jpg",8,1,3,22
"Gala",4,"Average","gala.jpg",8,2,1,23
"Fuji",4,"Average","fuji.jpg",8,2,2,23
"Fuji",1.5,"Excellent","fuji.jpg",8,2,3,23
"Gala",1,"Poor","gala.jpg",8,3,1,24
"Gala",2,"Average","gala.jpg",8,3,2,24
"Pink Lady",4,"Poor","pinkLady.jpg",8,3,3,24
"Honeycrisp",1.5,"Average","honeycrisp.jpg",9,1,1,25
"Red Delicious",1,"Excellent","redDelicious.jpg",9,1,2,25
"Gala",1,"Average","gala.jpg",9,1,3,25
"Red Delicious",2,"Excellent","redDelicious.jpg",9,2,1,26
"Honeycrisp",4,"Poor","honeycrisp.jpg",9,2,2,26
"Fuji",4,"Excellent","fuji.jpg",9,2,3,26
"Honeycrisp",4,"Poor","honeycrisp.jpg",9,3,1,27
"Red Delicious",2,"Excellent","redDelicious.jpg",9,3,2,27
"Honeycrisp",1,"Excellent","honeycrisp.jpg",9,3,3,27
"Honeycrisp",1.5,"Average","honeycrisp.jpg",10,1,1,28
"Red Delicious",2.5,"Poor","redDelicious.jpg",10,1,2,28
"Pink Lady",4,"Excellent","pinkLady.jpg",10,1,3,28
"Red Delicious",2,"Excellent","redDelicious.jpg",10,2,1,29
"Fuji",4,"Excellent","fuji.jpg",10,2,2,29
"Pink Lady",2.5,"Poor","pinkLady.jpg",10,2,3,29
"Red Delicious",3.5,"Poor","redDelicious.jpg",10,3,1,30
"Gala",3.5,"Average","gala.jpg",10,3,2,30
"Red Delicious",2,"Poor","redDelicious.jpg",10,3,3,30
"Red Delicious",2.5,"Excellent","redDelicious.jpg",11,1,1,31
"Honeycrisp",4,"Excellent","honeycrisp.jpg",11,1,2,31
"Honeycrisp",3,"Excellent","honeycrisp.jpg",11,1,3,31
"Gala",1.5,"Excellent","gala.jpg",11,2,1,32
"Honeycrisp",1.5,"Excellent","honeycrisp.jpg",11,2,2,32
"Gala",1.5,"Average","gala.jpg",11,2,3,32
"Honeycrisp",1.5,"Poor","honeycrisp.jpg",11,3,1,33
"Honeycrisp",1.5,"Poor","honeycrisp.jpg",11,3,2,33
"Gala",2,"Excellent","gala.jpg",11,3,3,33
"Honeycrisp",4,"Average","honeycrisp.jpg",12,1,1,34
"Fuji",3,"Poor","fuji.jpg",12,1,2,34
"Red Delicious",2.5,"Average","redDelicious.jpg",12,1,3,34
"Gala",2,"Poor","gala.jpg",12,2,1,35
"Fuji",4,"Poor","fuji.jpg",12,2,2,35
"Red Delicious",1,"Poor","redDelicious.jpg",12,2,3,35
"Honeycrisp",3.5,"Poor","honeycrisp.jpg",12,3,1,36
"Red Delicious",4,"Excellent","redDelicious.jpg",12,3,2,36
"Fuji",2.5,"Excellent","fuji.jpg",12,3,3,36
"Red Delicious",2.5,"Excellent","redDelicious.jpg",13,1,1,37
"Fuji",3,"Excellent","fuji.jpg",13,1,2,37
"Honeycrisp",1.5,"Excellent","honeycrisp.jpg",13,1,3,37
"Fuji",3.5,"Average","fuji.jpg",13,2,1,38
"Honeycrisp",3.5,"Poor","honeycrisp.jpg",13,2,2,38
"Pink Lady",3.5,"Excellent","pinkLady.jpg",13,2,3,38
"Red Delicious",1.5,"Poor","redDelicious.jpg",13,3,1,39
"Fuji",4,"Poor","fuji.jpg",13,3,2,39
"Honeycrisp",3.5,"Poor","honeycrisp.jpg",13,3,3,39
"Red Delicious",2,"Poor","redDelicious.jpg",14,1,1,40
"Pink Lady",2.5,"Poor","pinkLady.jpg",14,1,2,40
"Gala",3,"Poor","gala.jpg",14,1,3,40
"Honeycrisp",3,"Poor","honeycrisp.jpg",14,2,1,41
"Red Delicious",4,"Poor","redDelicious.jpg",14,2,2,41
"Gala",2.5,"Average","gala.jpg",14,2,3,41
"Fuji",2.5,"Poor","fuji.jpg",14,3,1,42
"Honeycrisp",2.5,"Average","honeycrisp.jpg",14,3,2,42
"Pink Lady",2,"Excellent","pinkLady.jpg",14,3,3,42
"Fuji",2,"Excellent","fuji.jpg",15,1,1,43
